GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Trip average Litres/100 KM(l/100km),Trip Distance(km)
-,07-Jul-2018 09:33:53.327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,07-Jul-2018 09:33:54.313,-,-,-,-,-,-,352.03125,0,100,86.66666412,17,21,0,1.53377414,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
Sat Jul 07 09:33:54 GMT+03:00 2018,07-Jul-2018 09:33:55.320,23.18596801,61.24302803,0.0,18.224,115.0,0.0,352.03125,0,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,-,0,-,-,-,-,-,-,-,-
Sat Jul 07 09:33:55 GMT+03:00 2018,07-Jul-2018 09:33:56.318,23.18596612,61.24298501,0.0,16.08,117.0,0.0,352.03125,0,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,18,0,0,-,-,-,-,-,-,-
Sat Jul 07 09:33:56 GMT+03:00 2018,07-Jul-2018 09:33:57.317,23.18595287,61.24298256,0.0,10.72,118.0,0.0,352.03125,-1.24971092,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,18,-∞,0,-,118,-,-,-,-,-
Sat Jul 07 09:33:57 GMT+03:00 2018,07-Jul-2018 09:33:58.319,23.18595452,61.24298704,0.0,9.648001,118.0,0.0,352.03125,-1.24971092,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,18,-∞,0,-,118,-,-,-,-,-
Sat Jul 07 09:33:58 GMT+03:00 2018,07-Jul-2018 09:33:59.317,23.18595107,61.24297923,0.0,7.504,118.0,0.0,352.03125,-1.24971092,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,18,-∞,0,-,118,-,-,-,-,-
Sat Jul 07 09:33:59 GMT+03:00 2018,07-Jul-2018 09:34:00.318,23.18594532,61.24297059,0.0,7.504,120.0,0.0,352.03125,-1.24971092,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,18,-∞,0,-,120,-,-,-,-,-
Sat Jul 07 09:34:00 GMT+03:00 2018,07-Jul-2018 09:34:01.318,23.18593752,61.24296078,0.0,7.504,121.0,0.0,352.03125,-1.24971092,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,18,-∞,0,-,121,-,-,-,-,-
Sat Jul 07 09:34:01 GMT+03:00 2018,07-Jul-2018 09:34:02.315,23.18595072,61.24295383,0.0,6.432,122.0,0.0,352.03125,-1.24971092,100,86.66666412,17,21,0,1.53377414,19,86.66666412,12010,30,0,0,18,-∞,0,-,122,-,-,-,-,-
