GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Mon Jun 11 07:13:30 GMT+03:00 2018,11-Jun-2018 07:13:50.602,23.18601329,61.24293172,2.8,13.936001,108.0,40.3,-0.60717773,9.16572571,3.8109436,0.02335136,
Mon Jun 11 07:13:30 GMT+03:00 2018,11-Jun-2018 07:13:51.598,23.18601329,61.24293172,2.8,13.936001,108.0,40.3,-0.60717773,9.16572571,3.8109436,0.02335136,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Mon Jun 11 07:13:30 GMT+03:00 2018,11-Jun-2018 07:13:53.597,23.18601329,61.24293172,2.8,13.936001,108.0,40.3,-0.60717773,9.16572571,3.8109436,0.02335136,
Mon Jun 11 07:13:30 GMT+03:00 2018,11-Jun-2018 07:13:54.597,23.18601329,61.24293172,2.8,13.936001,108.0,40.3,-0.60717773,9.16572571,3.8109436,0.02335136,
Mon Jun 11 07:13:55 GMT+03:00 2018,11-Jun-2018 07:13:55.602,23.18589211,61.2429172,0.0,18.224,95.0,0.0,-0.60717773,9.16572571,3.8109436,0.02335136,
Mon Jun 11 07:13:56 GMT+03:00 2018,11-Jun-2018 07:13:56.598,23.18589022,61.24294384,0.0,11.792,105.0,0.0,-0.60717773,9.16572571,3.8109436,0.02335136,
Mon Jun 11 07:13:57 GMT+03:00 2018,11-Jun-2018 07:13:57.598,23.18587442,61.24292533,0.0,9.648001,103.0,0.0,-0.60717773,9.16572571,3.8109436,0.02335136,
Mon Jun 11 07:13:58 GMT+03:00 2018,11-Jun-2018 07:13:58.598,23.18586734,61.24291694,0.0,7.504,105.0,0.0,-0.60717773,9.16572571,3.8109436,0.02335136,
Mon Jun 11 07:13:59 GMT+03:00 2018,11-Jun-2018 07:13:59.600,23.18587417,61.24290003,0.0,6.432,108.0,0.0,-8.77095032,0.38658142,4.65588379,-0.01933514,
Mon Jun 11 07:14:00 GMT+03:00 2018,11-Jun-2018 07:14:00.598,23.18588562,61.24289375,0.0,6.432,110.0,0.0,-8.55046082,1.03079224,4.77043152,0.00198737,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Mon Jun 11 07:14:02 GMT+03:00 2018,11-Jun-2018 07:14:02.367,23.18589301,61.24290961,0.0,5.36,111.0,0.0,-8.98271179,1.31500244,3.46170044,-0.00355238,
Mon Jun 11 07:14:03 GMT+03:00 2018,11-Jun-2018 07:14:03.368,23.18589027,61.24291031,0.0,5.36,112.0,0.0,-9.14915466,0.03137207,4.44500732,0.01513133,
Mon Jun 11 07:14:04 GMT+03:00 2018,11-Jun-2018 07:14:04.368,23.18588697,61.24291306,0.0,6.432,112.0,0.0,-8.69642639,1.00939941,3.57177734,0.00749127,
Mon Jun 11 07:14:05 GMT+03:00 2018,11-Jun-2018 07:14:05.367,23.18587834,61.24290878,0.0,6.432,114.0,0.0,-9.00108337,0.70663452,3.8316803,-0.00480148,
Mon Jun 11 07:14:06 GMT+03:00 2018,11-Jun-2018 07:14:06.368,23.18587488,61.24290589,0.0,6.432,114.0,0.0,-8.74583435,1.14877319,4.02915955,-0.00663629,
Mon Jun 11 07:14:07 GMT+03:00 2018,11-Jun-2018 07:14:07.367,23.18587176,61.24290963,0.0,6.432,115.0,0.0,-9.37568665,0.77423096,3.34495544,-0.0041809,
Mon Jun 11 07:14:08 GMT+03:00 2018,11-Jun-2018 07:14:08.367,23.18587095,61.24290951,0.0,6.432,116.0,0.0,-8.8429718,1.29562378,4.22491455,0.00315733,
Mon Jun 11 07:14:09 GMT+03:00 2018,11-Jun-2018 07:14:09.367,23.18586829,61.24291413,0.0,6.432,117.0,0.0,-8.71974182,1.02996826,4.02763367,0.00140815,
Mon Jun 11 07:14:10 GMT+03:00 2018,11-Jun-2018 07:14:10.368,23.18586828,61.24291515,0.0,6.432,117.0,0.0,-7.88844299,-1.11639404,3.60098267,-0.06992648,
Mon Jun 11 07:14:11 GMT+03:00 2018,11-Jun-2018 07:14:11.368,23.1858668,61.24290791,0.34,5.36,117.0,92.8,-9.85786438,-0.55671692,-0.11270142,0.00712258,
