GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Trip average Litres/100 KM(l/100km),Trip Distance(km)
-,28-Jun-2018 16:09:05.036,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:06.027,-,-,-,-,-,-,352.078125,0,20.35928154,34.50980377,24,24,0,7.01153898,20,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:07.028,-,-,-,-,-,-,352.078125,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,-,NaN,-,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:08.030,-,-,-,-,-,-,352.078125,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:09.031,-,-,-,-,-,-,352.046875,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:10.033,-,-,-,-,-,-,352.046875,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:11.029,-,-,-,-,-,-,352.109375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:12.032,-,-,-,-,-,-,352.109375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:13.029,-,-,-,-,-,-,352.109375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:14.029,-,-,-,-,-,-,352.078125,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:15.029,-,-,-,-,-,-,352.078125,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:16.028,-,-,-,-,-,-,352.078125,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:17.028,-,-,-,-,-,-,352.09375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:18.029,-,-,-,-,-,-,352.09375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:19.029,-,-,-,-,-,-,352.09375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:20.029,-,-,-,-,-,-,352.09375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:21.028,-,-,-,-,-,-,352.09375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:22.029,-,-,-,-,-,-,352.09375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:23.030,-,-,-,-,-,-,352.046875,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:24.028,-,-,-,-,-,-,352.046875,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:25.029,-,-,-,-,-,-,352.046875,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:26.028,-,-,-,-,-,-,352.015625,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:27.029,-,-,-,-,-,-,352.015625,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:28.029,-,-,-,-,-,-,352.109375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:29.030,-,-,-,-,-,-,352.109375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:30.028,-,-,-,-,-,-,352.109375,0,20.35928154,34.50980377,24,24,0,7.01153898,20,34.50980377,13250,30,0,0,25,NaN,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:31.028,-,-,-,-,-,-,352.09375,1.16190934,20.35928154,34.50980377,24,29,0,7.04805708,20,34.50980377,13250,30,0,0,25,∞,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:32.027,-,-,-,-,-,-,352.09375,1.16190934,20.35928154,34.50980377,24,29,0,7.04805708,20,34.50980377,13250,30,0,0,25,∞,0,-,-,-,-,-,-,-
-,28-Jun-2018 16:09:33.027,-,-,-,-,-,-,351.953125,1.58378911,20.35928154,34.50980377,24,29,0,7.04805708,20,34.50980377,13250,30,0,0,25,∞,0,-,-,-,-,-,-,-
