GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
-,31-May-2018 07:44:32.927,-,-,-,-,-,-,2.53942871,7.30973816,6.44741821,0.02730936,
-,31-May-2018 07:44:33.927,-,-,-,-,-,-,2.61955261,6.97821045,6.28004456,-0.005885,
-,31-May-2018 07:44:34.928,-,-,-,-,-,-,2.81434631,7.70710754,6.09806824,0.0267348,
-,31-May-2018 07:44:35.929,-,-,-,-,-,-,3.26667786,8.48774719,3.79977417,0.02421244,
-,31-May-2018 07:44:36.928,-,-,-,-,-,-,3.26667786,8.48774719,3.79977417,0.02421244,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
-,31-May-2018 07:44:38.052,-,-,-,-,-,-,3.26667786,8.48774719,3.79977417,0.02421244,
-,31-May-2018 07:44:39.051,-,-,-,-,-,-,3.26667786,8.48774719,3.79977417,0.02421244,
Thu May 31 07:44:39 GMT+03:00 2018,31-May-2018 07:44:40.057,23.18205264,61.24191779,6.08,9.648001,90.0,232.1,3.26667786,8.48774719,3.79977417,0.02421244,
Thu May 31 07:44:40 GMT+03:00 2018,31-May-2018 07:44:41.052,23.18197262,61.2418858,6.21,10.72,93.0,231.4,3.26667786,8.48774719,3.79977417,0.02421244,
Thu May 31 07:44:41 GMT+03:00 2018,31-May-2018 07:44:42.052,23.18186977,61.24185936,6.2,10.72,95.0,232.9,3.26667786,8.48774719,3.79977417,0.02421244,
Thu May 31 07:44:42 GMT+03:00 2018,31-May-2018 07:44:43.051,23.18177895,61.24183731,6.25,10.72,97.0,232.2,3.26667786,8.48774719,3.79977417,0.02421244,
Thu May 31 07:44:43 GMT+03:00 2018,31-May-2018 07:44:44.051,23.18166635,61.24179529,6.34,10.72,97.0,231.7,7.42912292,-0.58253479,5.32594299,0.02402903,
Thu May 31 07:44:44 GMT+03:00 2018,31-May-2018 07:44:45.051,23.18162784,61.24171953,6.47,10.72,102.0,227.0,8.98730469,-1.39976501,3.44961548,-0.00779867,
Thu May 31 07:44:45 GMT+03:00 2018,31-May-2018 07:44:46.055,23.18152073,61.24167703,6.3,9.648001,105.0,233.3,9.76345825,0.96928406,1.42364502,0.01185429,
Thu May 31 07:44:46 GMT+03:00 2018,31-May-2018 07:44:47.050,23.18141946,61.2416545,6.31,9.648001,105.0,231.8,5.94233704,5.2093811,4.99327087,-0.04653633,
Thu May 31 07:44:47 GMT+03:00 2018,31-May-2018 07:44:48.051,23.18133108,61.24161915,6.05,9.648001,105.0,234.1,9.41365051,2.61991882,-6.02998352,-0.07579929,
Thu May 31 07:44:48 GMT+03:00 2018,31-May-2018 07:44:49.052,23.18125228,61.24157997,6.1,9.648001,107.0,232.0,3.03974915,-0.01196289,-9.22966003,-0.00886804,
Thu May 31 07:44:49 GMT+03:00 2018,31-May-2018 07:44:50.051,23.18116401,61.24153903,6.1,3.216,108.0,227.7,3.02243042,0.14828491,-9.62722778,0.01186496,
Thu May 31 07:44:50 GMT+03:00 2018,31-May-2018 07:44:51.051,23.18107998,61.24149762,6.32,3.216,108.0,226.3,2.95202637,0.25387573,-9.42004395,0.00720519,
Thu May 31 07:44:51 GMT+03:00 2018,31-May-2018 07:44:52.052,23.18099914,61.24145776,6.38,3.216,109.0,225.4,2.88360596,0.33621216,-9.42958069,-0.00047062,
Thu May 31 07:44:52 GMT+03:00 2018,31-May-2018 07:44:53.052,23.18091208,61.24141832,6.58,3.216,110.0,224.9,3.20932007,0.33853149,-9.4447937,0.01799816,
Thu May 31 07:44:53 GMT+03:00 2018,31-May-2018 07:44:54.052,23.18082942,61.24137297,6.76,3.216,109.0,224.0,2.90264893,-0.00820923,-9.55197144,-0.00139438,
Thu May 31 07:44:54 GMT+03:00 2018,31-May-2018 07:44:55.051,23.18073979,61.24132828,6.97,3.216,110.0,224.0,3.22584534,0.11320496,-9.33399963,0.00734097,
Thu May 31 07:44:55 GMT+03:00 2018,31-May-2018 07:44:56.052,23.18065138,61.24128266,7.12,3.216,110.0,223.2,2.84022522,-0.38140869,-9.34144592,0.00853169,
Thu May 31 07:44:56 GMT+03:00 2018,31-May-2018 07:44:57.052,23.18056087,61.24123609,7.27,3.216,109.0,224.6,3.20046997,0.42559814,-9.11355591,-0.01384133,
Thu May 31 07:44:57 GMT+03:00 2018,31-May-2018 07:44:58.051,23.18046125,61.2411835,7.37,3.216,110.0,220.5,3.340271,-0.24447632,-9.46276855,-0.00335491,
Thu May 31 07:44:58 GMT+03:00 2018,31-May-2018 07:44:59.051,23.18037801,61.24113133,7.38,3.216,110.0,218.6,3.51835632,-1.04039001,-9.24783325,0.01475126,
Thu May 31 07:44:59 GMT+03:00 2018,31-May-2018 07:45:00.052,23.18029903,61.24108607,6.9,3.216,110.0,220.1,4.03611755,0.19338989,-9.88296509,0.01074383,
Thu May 31 07:45:00 GMT+03:00 2018,31-May-2018 07:45:01.051,23.18021461,61.24104779,6.28,3.216,110.0,229.9,4.4513092,0.40751648,-10.10676575,0.12709099,
Thu May 31 07:45:01 GMT+03:00 2018,31-May-2018 07:45:02.052,23.18013622,61.2410128,5.57,3.216,110.0,228.6,1.71946716,0.42512512,-9.89785767,0.00100774,
Thu May 31 07:45:02 GMT+03:00 2018,31-May-2018 07:45:03.053,23.18006567,61.24098064,4.69,3.216,111.0,228.0,1.94233704,0.55911255,-9.86170959,0.02674454,
Thu May 31 07:45:03 GMT+03:00 2018,31-May-2018 07:45:04.051,23.18000222,61.24094847,5.2,3.216,112.0,228.3,1.9539032,0.19021606,-9.61595154,0.01720917,
Thu May 31 07:45:04 GMT+03:00 2018,31-May-2018 07:45:05.051,23.17991544,61.24091222,5.82,3.216,112.0,229.2,2.20796204,-0.01733398,-9.54592896,-0.00064999,
Thu May 31 07:45:05 GMT+03:00 2018,31-May-2018 07:45:06.052,23.17982282,61.24088037,6.13,3.216,113.0,233.9,2.29333496,-0.34689331,-9.55848694,0.00641418,
Thu May 31 07:45:06 GMT+03:00 2018,31-May-2018 07:45:07.051,23.17971914,61.24084956,6.45,3.216,113.0,240.7,2.2250061,-0.93267822,-9.47981262,-0.00227833,
Thu May 31 07:45:07 GMT+03:00 2018,31-May-2018 07:45:08.051,23.17960169,61.24082754,6.88,3.216,113.0,250.3,2.28132629,-1.28378296,-9.75366211,-0.00380796,
Thu May 31 07:45:08 GMT+03:00 2018,31-May-2018 07:45:09.052,23.17946297,61.24081027,7.35,3.216,113.0,259.7,2.52911377,-0.73329163,-9.64149475,0.01939684,
