GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
-,02-Nov-2018 16:46:30.694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:31 GMT+02:00 2018,02-Nov-2018 16:46:31.685,23.71673672,61.46514003,0.0,13.936001,114.0,0.0,352.09375,0,-2.99401188,19.2156868,69,52,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:32 GMT+02:00 2018,02-Nov-2018 16:46:32.673,23.71674613,61.46515876,0.0,7.504,112.0,0.0,352.09375,0,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,24,10.76549053,0,-,-,-,0,-,-,-,-,-,-,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:33 GMT+02:00 2018,02-Nov-2018 16:46:33.700,23.71672623,61.46518316,0.0,7.504,110.0,0.0,352.09375,0,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,24,10.76549053,0,0,0,8,0,69,-,-,-,110,-,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:34 GMT+02:00 2018,02-Nov-2018 16:46:34.676,23.71672439,61.46519026,0.0,5.36,109.0,0.0,352.09375,0,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,24,10.76549053,0,0,0,8,0,69,-,0,-,109,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:35 GMT+02:00 2018,02-Nov-2018 16:46:35.675,23.71671571,61.46519263,0.0,4.288,109.0,0.0,352.09375,0.5281406,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,24,10.76549053,0,0,0,8,∞,69,-,0,-,109,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:36 GMT+02:00 2018,02-Nov-2018 16:46:36.679,23.7167178,61.46520409,0.0,3.216,110.0,0.0,352.09375,0.5281406,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,24,10.76549053,0,0,0,8,∞,69,-,0,-,110,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:37 GMT+02:00 2018,02-Nov-2018 16:46:37.681,23.71673041,61.46520312,0.0,3.216,111.0,0.0,352.09375,0.5281406,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,23,10.76549053,0,0,0,8,∞,69,-,0,-,111,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:38 GMT+02:00 2018,02-Nov-2018 16:46:38.677,23.71673572,61.46520527,0.0,3.216,112.0,0.0,352.09375,0.5281406,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,23,10.76549053,0,0,0,8,∞,69,-,0,-,112,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:39 GMT+02:00 2018,02-Nov-2018 16:46:39.678,23.71673371,61.46521147,0.22,3.216,112.0,1.5,346.375,1.24694991,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,0,23,10.76549053,0,0,0,8,∞,69,-,0,-,112,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:40 GMT+02:00 2018,02-Nov-2018 16:46:40.678,23.71672294,61.46522458,0.15,3.216,111.0,7.3,346.375,1.24694991,-2.99401188,19.2156868,68,52,0,5.33169079,11,19.2156868,12460,30,0,23,10.76549053,0,0,0,8,∞,69,-,0,-,111,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:41 GMT+02:00 2018,02-Nov-2018 16:46:41.680,23.71673195,61.46522222,0.31,3.216,110.0,357.7,346.375,1.24694991,-2.99401188,19.2156868,68,52,0,5.33169079,11,19.2156868,12460,30,1,28,10.76549053,0,0,0,8,1246.94995117,68,-,0,-,110,19,14.23178673,-,-,-,0,-,-,11175.45507812,0
Fri Nov 02 16:46:42 GMT+02:00 2018,02-Nov-2018 16:46:42.680,23.71673744,61.4652279,0.49,3.216,112.0,352.7,346.375,1.24694991,-2.99401188,19.2156868,68,52,0,5.33169079,11,19.2156868,12460,30,1,28,10.76549053,0,0,0,8,1246.94995117,68,-,0,-,112,19,14.23178673,0,0,100,2,-,-,11175.45507812,0
Fri Nov 02 16:46:43 GMT+02:00 2018,02-Nov-2018 16:46:43.679,23.71673212,61.46523808,0.79,3.216,114.0,343.6,349.203125,1.25713122,-2.99401188,19.2156868,69,52,0,5.33169079,11,19.2156868,12460,30,1,28,10.76549053,0,0,0,8,1257.13122559,68,-,0,-,114,19,14.23178673,0,0,100,2,-,-,11175.45507812,1
Fri Nov 02 16:46:44 GMT+02:00 2018,02-Nov-2018 16:46:44.681,23.71673015,61.46524718,0.62,3.216,112.0,335.6,349.203125,1.25713122,-2.99401188,19.2156868,69,52,0,5.29517269,11,19.2156868,12460,30,3,28,10.76549053,0,0,0,8,419.04373169,68,-,0,-,112,19,14.23178673,0,0,100,2,-,-,11175.45507812,2
Fri Nov 02 16:46:45 GMT+02:00 2018,02-Nov-2018 16:46:45.676,23.71672766,61.46525411,0.58,3.216,112.0,326.6,349.203125,1.25713122,-2.99401188,19.2156868,69,52,0,5.29517269,11,19.2156868,12460,30,3,28,10.76549053,0,0,0,8,419.04373169,68,-,0,-,112,19,14.23178673,0,0,100,2,3.57080293,0.00198611,11175.45703125,3
Fri Nov 02 16:46:46 GMT+02:00 2018,02-Nov-2018 16:46:46.678,23.71672397,61.46526121,0.64,3.216,114.0,318.1,348.921875,1.25611877,-2.99401188,19.2156868,69,52,0,5.29517269,11,19.2156868,12460,30,3,28,10.76549053,0,0,0,8,418.70623779,68,-,0,-,114,19,14.23178673,0,0,100,2,3.57080293,0.00198611,11175.45703125,4
Fri Nov 02 16:46:47 GMT+02:00 2018,02-Nov-2018 16:46:47.679,23.71672662,61.46526776,0.35,3.216,113.0,308.7,348.921875,1.25611877,-2.99401188,19.2156868,68,52,0,5.29517269,11,19.2156868,12460,30,3,28,10.76549053,0,0,0,8,418.70623779,68,-,0,-,113,19,14.23178673,0,0,100,2,3.57080293,0.00198611,11175.45703125,5
Fri Nov 02 16:46:48 GMT+02:00 2018,02-Nov-2018 16:46:48.677,23.7167261,61.46527404,0.5,4.288,115.0,301.6,348.921875,1.25611877,-2.99401188,19.2156868,68,52,0,5.29517269,11,19.2156868,12460,30,2,28,10.76549053,0,0,0,8,628.05938721,68,-,0,-,115,19,14.23178673,0,0,100,2,3.57080221,0.00198611,11175.45703125,6
Fri Nov 02 16:46:49 GMT+02:00 2018,02-Nov-2018 16:46:49.677,23.7167609,61.46527276,0.0,4.288,112.0,0.0,348.921875,0.83741254,-2.99401188,19.2156868,68,52,0,5.29517269,11,19.2156868,12460,30,2,28,10.76549053,0,0,0,8,418.70626831,68,-,0,-,112,19,14.23178673,0,0,100,1,3.57080221,0.00341694,11175.45898438,7
Fri Nov 02 16:46:50 GMT+02:00 2018,02-Nov-2018 16:46:50.681,23.71677872,61.46526427,0.0,4.288,111.0,0.0,352.234375,0.84536254,-2.99401188,19.2156868,68,52,0,5.29517269,11,19.2156868,12460,30,2,28,10.76549053,0,0,0,8,422.68127441,68,-,0,-,111,19,14.23178673,0,0,100,1,3.57080221,0.00341694,11175.45898438,8
Fri Nov 02 16:46:51 GMT+02:00 2018,02-Nov-2018 16:46:51.677,23.71679551,61.4652649,1.31,4.288,111.0,100.9,352.234375,0.84536254,-2.99401188,19.2156868,68,52,0,5.29517269,11,19.2156868,12460,30,4,28,10.76549053,0,0,0,8,211.34063721,68,-,0,-,111,19,14.23178673,0,0,100,1,3.57080221,0.00341694,11175.45898438,9
Fri Nov 02 16:46:52 GMT+02:00 2018,02-Nov-2018 16:46:52.679,23.71683226,61.46526684,2.13,4.288,112.0,90.1,352.234375,0.84536254,-2.99401188,19.2156868,68,52,0,5.29517269,11,19.2156868,12460,30,4,28,10.76549053,0,0,0,8,211.34063721,68,-,0,-,112,19,14.23178673,3.6981132,0,96.30188751,8,3.5708015,0.00757444,11175.46289062,10
Fri Nov 02 16:46:53 GMT+02:00 2018,02-Nov-2018 16:46:53.678,23.71687811,61.46526627,2.91,3.216,111.0,79.9,358.28125,5.48170328,-2.99401188,19.2156868,68,52,0,5.36820936,11,19.2156868,12460,30,4,28,10.76549053,0,0,0,8,1370.42578125,68,-,0,-,111,19,14.23178673,10.06959724,0,89.93040466,8,3.5708015,0.00757444,11175.46289062,11
Fri Nov 02 16:46:54 GMT+02:00 2018,02-Nov-2018 16:46:54.678,23.71693566,61.4652677,2.87,4.288,111.0,77.9,358.28125,5.48170328,-2.99401188,19.2156868,68,52,0,5.36820936,11,19.2156868,12460,30,12,28,10.76549053,0,0,0,8,456.80859375,68,-,0,-,111,19,14.23178673,17.25703239,0,82.7429657,8,3.5708015,0.00757444,11175.46289062,12
Fri Nov 02 16:46:55 GMT+02:00 2018,02-Nov-2018 16:46:55.677,23.71700289,61.46526179,3.77,3.216,112.0,88.4,358.28125,5.48170328,-2.99401188,19.2156868,68,52,0,5.36820936,11,19.2156868,12460,30,12,28,10.76549053,0,0,0,8,456.80859375,68,-,0,-,112,19,14.23178673,24.70310593,0,75.29689789,14,3.57080078,0.01740111,11175.47265625,13
Fri Nov 02 16:46:56 GMT+02:00 2018,02-Nov-2018 16:46:56.679,23.71707838,61.46526297,4.3,3.216,113.0,88.9,355.578125,4.80030489,-2.99401188,19.2156868,68,52,0,5.36820936,11,19.2156868,12460,30,12,28,10.76549053,0,0,0,8,400.02539062,68,-,0,-,113,19,14.23178673,28.80457497,0,71.19542694,14,3.57080078,0.01740111,11175.47265625,14
Fri Nov 02 16:46:57 GMT+02:00 2018,02-Nov-2018 16:46:57.677,23.71716013,61.46526517,4.45,3.216,113.0,89.6,355.578125,4.80030489,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,16,28,10.76549053,0,0,0,8,300.01904297,68,-,0,-,113,19,14.23178673,33.43332291,0,66.56668091,14,3.57080078,0.01740111,11175.47265625,15
Fri Nov 02 16:46:58 GMT+02:00 2018,02-Nov-2018 16:46:58.677,23.71724486,61.46526516,4.45,3.216,113.0,89.8,355.578125,4.80030489,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,16,28,10.76549053,0,0,0,8,300.01904297,68,-,0,-,113,19,14.23178673,38.45411682,0,61.54588318,14,3.57080007,0.01740111,11175.47265625,16
Fri Nov 02 16:46:59 GMT+02:00 2018,02-Nov-2018 16:46:59.679,23.71734024,61.4652648,4.68,3.216,112.0,90.7,355.203125,4.58211994,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,16,28,10.76549053,0,0,0,8,286.38250732,68,-,0,-,112,19,14.23178673,41.19138336,0,58.80861664,16,3.57080007,0.03053444,11175.48535156,17
Fri Nov 02 16:47:00 GMT+02:00 2018,02-Nov-2018 16:47:00.682,23.71743551,61.46526662,4.88,3.216,112.0,90.7,355.203125,4.58211994,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,16,28,10.76549053,0,0,0,8,286.38250732,68,-,0,-,112,19,14.23178673,44.37966537,0,55.62033463,16,3.57080007,0.03053444,11175.48535156,18
Fri Nov 02 16:47:01 GMT+02:00 2018,02-Nov-2018 16:47:01.676,23.7175232,61.46527425,5.18,3.216,113.0,90.9,355.203125,4.58211994,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,18,28,10.76549053,0,0,0,8,254.56222534,68,-,0,-,113,19,14.23178673,47.89178085,0,52.10821915,16,3.57079911,0.03053444,11175.48535156,19
Fri Nov 02 16:47:02 GMT+02:00 2018,02-Nov-2018 16:47:02.677,23.71762719,61.46527699,5.45,3.216,113.0,90.9,354.359375,4.14600468,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,18,28,10.76549053,0,0,0,8,230.33358765,68,-,0,-,113,19,14.23178673,49.87232208,0,50.12767792,19,3.57079911,0.04574972,11175.50097656,20
Fri Nov 02 16:47:03 GMT+02:00 2018,02-Nov-2018 16:47:03.677,23.71773543,61.46528075,5.63,3.216,113.0,90.6,354.359375,4.14600468,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,18,28,10.76549053,0,0,0,8,230.33358765,68,-,0,-,113,19,14.23178673,52.18287277,0,47.81712723,19,3.57079911,0.04574972,11175.50097656,21
Fri Nov 02 16:47:04 GMT+02:00 2018,02-Nov-2018 16:47:04.677,23.71782615,61.46527989,5.46,3.216,113.0,91.8,354.359375,4.14600468,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,19,29,10.76549053,0,0,0,8,218.21076965,68,-,0,-,113,19,14.23178673,54.84983826,0,45.15016174,19,3.5707984,0.04574972,11175.50097656,22
Fri Nov 02 16:47:05 GMT+02:00 2018,02-Nov-2018 16:47:05.679,23.71792992,61.46527634,4.92,3.216,112.0,94.4,344.5,-4.53017473,-2.99401188,19.2156868,68,52,0,5.40472794,11,19.2156868,12460,30,19,29,10.76549053,0,0,0,8,-238.43025208,68,-,0,-,112,19,14.23178673,56.32380676,0,43.67619324,18,3.5707984,0.06189611,11175.51757812,23
Fri Nov 02 16:47:06 GMT+02:00 2018,02-Nov-2018 16:47:06.678,23.71799811,61.46527136,3.25,3.216,112.0,98.7,344.5,-4.53017473,-2.99401188,19.2156868,68,52,0,5.36820936,11,19.2156868,12460,30,19,29,10.76549053,0,0,0,8,-238.43025208,68,-,0,-,112,19,14.23178673,58.06597519,0,41.93402481,18,3.5707984,0.06189611,11175.51757812,24
Fri Nov 02 16:47:07 GMT+02:00 2018,02-Nov-2018 16:47:07.678,23.71804426,61.46526073,2.21,3.216,112.0,98.9,344.5,-4.53017473,-2.99401188,19.2156868,68,52,0,5.36820936,11,19.2156868,12460,30,8,29,10.76549053,0,0,0,8,-566.27185059,68,-,0,-,112,19,14.23178673,60.15146255,0,39.84853745,18,3.5707984,0.06189611,11175.51757812,25
Fri Nov 02 16:47:08 GMT+02:00 2018,02-Nov-2018 16:47:08.677,23.7180756,61.4652581,2.02,3.216,113.0,96.3,344.5,1.03349996,-2.99401188,19.2156868,68,52,0,5.36820936,11,19.2156868,12460,30,8,29,10.76549053,0,0,0,8,129.1875,68,-,0,-,113,19,14.23178673,61.66009521,0,38.33990479,7,3.57079768,0.0727468,11175.52832031,26
Fri Nov 02 16:47:09 GMT+02:00 2018,02-Nov-2018 16:47:09.677,23.71811437,61.4652542,2.06,3.216,113.0,96.1,352.828125,1.05848432,-2.99401188,19.2156868,68,52,0,5.33169079,11,19.2156868,12460,30,8,29,10.76549053,0,0,0,8,132.31054688,68,-,0,-,113,19,14.23178673,62.8435173,0,37.1564827,7,3.57079768,0.0727468,11175.52832031,27
Fri Nov 02 16:47:10 GMT+02:00 2018,02-Nov-2018 16:47:10.677,23.71815296,61.4652583,2.14,3.216,114.0,90.0,352.828125,1.05848432,-2.99401188,19.2156868,68,52,0,5.33169079,11,19.2156868,12460,30,7,29,10.76549053,0,0,0,8,151.21205139,68,-,0,-,114,19,14.23178673,64.16485596,0,35.83514786,7,3.57079768,0.0727468,11175.52832031,28
Fri Nov 02 16:47:11 GMT+02:00 2018,02-Nov-2018 16:47:11.676,23.71819388,61.46526994,2.32,3.216,114.0,67.1,352.828125,1.05848432,-2.99401188,19.2156868,68,52,0,5.33169079,11,19.2156868,12460,30,7,29,10.76549053,0,0,0,8,151.21205139,68,-,0,-,114,19,14.23178673,65.71620178,0,34.2837944,8,3.57079697,0.07928222,11175.53417969,29
Fri Nov 02 16:47:12 GMT+02:00 2018,02-Nov-2018 16:47:12.677,23.71822473,61.46528634,2.2,3.216,113.0,40.1,354.21875,2.12531257,-2.99401188,19.2156868,68,52,0,5.44124651,11,19.2156868,12460,30,7,29,10.76549053,0,0,0,8,303.61605835,68,-,0,-,113,19,14.23178673,66.4970932,0,33.50290298,8,3.57079697,0.07928222,11175.53417969,30
Fri Nov 02 16:47:13 GMT+02:00 2018,02-Nov-2018 16:47:13.677,23.71821915,61.46532559,2.13,3.216,113.0,10.1,354.21875,2.12531257,-2.99401188,19.2156868,68,52,0,5.44124651,11,19.2156868,12460,30,9,29,10.76549053,0,0,0,8,236.14582825,68,-,0,-,113,19,14.23178673,67.57820892,0,32.42178726,8,3.57079697,0.07928222,11175.53417969,31
Fri Nov 02 16:47:14 GMT+02:00 2018,02-Nov-2018 16:47:14.680,23.71822575,61.4653377,1.65,4.288,112.0,337.1,354.21875,2.12531257,-2.99401188,19.2156868,68,52,0,5.44124651,11,19.2156868,12460,30,9,29,10.76549053,0,0,0,8,236.14582825,68,-,0,-,112,19,14.23178673,68.83243561,0,31.16756248,9,3.57079625,0.0866418,11175.54199219,32
Fri Nov 02 16:47:15 GMT+02:00 2018,02-Nov-2018 16:47:15.679,23.71821893,61.46534888,1.4,6.432,112.0,328.1,352.34375,0.84562504,-2.99401188,19.2156868,68,52,0,5.44124651,11,19.2156868,12460,30,9,29,10.76549053,0,0,0,8,93.95833588,68,-,0,-,112,19,14.23178673,69.48098755,0,30.51901436,9,3.57079625,0.0866418,11175.54199219,33
Fri Nov 02 16:47:16 GMT+02:00 2018,02-Nov-2018 16:47:16.678,23.71819811,61.46537656,1.9,4.288,111.0,333.7,352.34375,0.84562504,-2.99401188,19.2156868,68,52,0,5.62383842,11,19.2156868,12460,30,8,29,10.76549053,0,0,0,8,105.70313263,68,-,0,-,111,19,14.23178673,70.43815613,0,29.56184387,9,3.57079625,0.0866418,11175.54199219,34
Fri Nov 02 16:47:17 GMT+02:00 2018,02-Nov-2018 16:47:17.680,23.71819188,61.46538952,2.24,4.288,111.0,348.8,352.34375,0.84562504,-2.99401188,19.2156868,68,52,0,5.62383842,11,19.2156868,12460,30,8,29,10.76549053,0,0,0,8,105.70313263,68,-,0,-,111,19,14.23178673,71.46611023,0,28.53389168,8,3.57079554,0.09408639,11175.54980469,35
Fri Nov 02 16:47:18 GMT+02:00 2018,02-Nov-2018 16:47:18.681,23.7181906,61.46540491,2.22,4.288,109.0,349.6,352.421875,1.05726564,-2.99401188,19.2156868,68,52,0,5.62383842,11,19.2156868,12460,30,8,29,10.76549053,0,0,0,8,132.15820312,68,-,0,-,109,19,14.23178673,72.01524353,0,27.98475838,8,3.57079554,0.09408639,11175.54980469,36
Fri Nov 02 16:47:19 GMT+02:00 2018,02-Nov-2018 16:47:19.677,23.71818248,61.46541786,1.45,5.36,110.0,338.3,352.421875,1.05726564,-2.99401188,19.2156868,68,52,0,5.55080175,11,19.2156868,12460,30,4,29,10.76549053,0,0,0,8,264.31640625,68,-,0,-,110,19,14.23178673,72.75541687,0,27.24458122,8,3.57079554,0.09408639,11175.54980469,37
Fri Nov 02 16:47:20 GMT+02:00 2018,02-Nov-2018 16:47:20.684,23.71817576,61.46541593,0.95,5.36,111.0,329.0,352.421875,1.05726564,-2.99401188,19.2156868,68,52,0,5.55080175,11,19.2156868,12460,30,4,29,10.76549053,0,0,0,8,264.31640625,68,-,0,-,111,19,14.23178673,73.35224152,0,26.64775658,4,3.57079482,0.09929638,11175.5546875,38
Fri Nov 02 16:47:21 GMT+02:00 2018,02-Nov-2018 16:47:21.677,23.71814033,61.46542855,1.71,5.36,111.0,310.2,364.25,7.75852489,-2.99401188,19.2156868,68,52,0,5.55080175,11,19.2156868,12460,30,4,29,10.76549053,0,0,0,8,1939.63122559,68,-,0,-,111,19,14.23178673,71.99514008,0,28.00485992,4,3.57079482,0.09929638,11175.5546875,39
Fri Nov 02 16:47:22 GMT+02:00 2018,02-Nov-2018 16:47:22.681,23.71811049,61.46543715,1.78,5.36,112.0,293.9,364.25,7.75852489,-2.99401188,19.2156868,68,52,0,5.58731985,11,19.2156868,12460,30,10,29,10.76549053,0,0,0,8,775.85247803,68,-,0,-,112,19,14.23178673,70.31864166,0,29.68135834,4,3.57079482,0.09929638,11175.5546875,40
Fri Nov 02 16:47:23 GMT+02:00 2018,02-Nov-2018 16:47:23.679,23.71801554,61.46546894,3.23,5.36,112.0,304.1,364.25,7.75852489,-2.99401188,19.2156868,68,52,0,5.58731985,11,19.2156868,12460,30,10,29,10.76549053,0,0,0,8,775.85247803,68,-,0,-,112,19,14.23178673,68.20928192,0,31.79071617,4,3.57079411,0.09929638,11175.5546875,41
Fri Nov 02 16:47:24 GMT+02:00 2018,02-Nov-2018 16:47:24.680,23.71799065,61.465495,3.61,5.36,114.0,339.1,359.796875,8.63512516,-3.59281445,18.8235302,68,52,0,5.58731985,11,19.2156868,12460,30,10,29,10.76549053,0,0,0,8,863.51251221,68,-,0,-,114,18,14.27056885,68.48834229,0,31.51165581,13,3.57079411,0.10679527,11175.5625,42
Fri Nov 02 16:47:25 GMT+02:00 2018,02-Nov-2018 16:47:25.681,23.718016,61.46553793,3.64,5.36,114.0,3.5,359.796875,8.63512516,-3.59281445,18.8235302,68,52,0,5.33169079,11,18.8235302,12460,30,10,29,10.76549053,0,0,0,8,863.51251221,68,-,0,-,114,18,14.27056885,69.22386932,0,30.77612877,13,3.57079411,0.10679527,11175.5625,43
Fri Nov 02 16:47:26 GMT+02:00 2018,02-Nov-2018 16:47:26.670,23.71801893,61.46557004,3.48,7.504,113.0,6.9,359.796875,8.63512516,-3.59281445,18.8235302,68,52,0,5.33169079,11,18.8235302,12460,30,16,29,10.82823563,0,0,0,8,539.6953125,68,-,0,-,113,18,14.27056885,70.11054993,0,29.88944817,13,3.57079339,0.10679527,11175.5625,44
