GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
Tue Oct 23 06:46:31 GMT+03:00 2018,23-Oct-2018 06:46:33.367,23.18588599,61.24307836,0.0,18.224,106.0,0.0,352.09375,0,100.59880066,87.05882263,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,106,-,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:32 GMT+03:00 2018,23-Oct-2018 06:46:34.366,23.18587503,61.2430623,0.0,11.792,106.0,0.0,352.09375,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,-,-,-,-,NaN,-,-,-,-,106,-,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:33 GMT+03:00 2018,23-Oct-2018 06:46:35.370,23.18591159,61.243038,0.0,8.576,105.0,0.0,352.09375,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,-,NaN,4,-,-,-,105,-,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:34 GMT+03:00 2018,23-Oct-2018 06:46:36.369,23.18591556,61.24303866,0.0,7.504,103.0,0.0,352.09375,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,0,NaN,4,-,0,-,103,-,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:35 GMT+03:00 2018,23-Oct-2018 06:46:37.368,23.18593951,61.24302158,0.0,6.432,103.0,0.0,352.078125,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,0,NaN,4,-,0,-,103,87,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:36 GMT+03:00 2018,23-Oct-2018 06:46:38.369,23.18591029,61.24299153,0.0,5.36,108.0,0.0,352.078125,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,0,NaN,4,-,0,-,108,87,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:37 GMT+03:00 2018,23-Oct-2018 06:46:39.372,23.18591451,61.24297062,0.7,5.36,111.0,74.2,352.078125,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,0,NaN,4,-,0,-,111,87,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:38 GMT+03:00 2018,23-Oct-2018 06:46:40.370,23.18592201,61.24296152,0.0,4.288,111.0,0.0,352.078125,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,0,NaN,4,-,0,-,111,87,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:39 GMT+03:00 2018,23-Oct-2018 06:46:41.366,23.18591382,61.24295361,0.0,3.216,112.0,0.0,352.078125,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,0,NaN,4,-,0,-,112,87,7.52256727,-,-,-,0,-,-,10104.37597656,0
Tue Oct 23 06:46:40 GMT+03:00 2018,23-Oct-2018 06:46:42.374,23.18590693,61.2429482,0.0,3.216,114.0,0.0,352.078125,0,100.59880066,87.05882263,4,5,0,7.88798141,12,87.05882263,13590,30,0,7,-0.08941177,0,0,0,0,NaN,4,-,0,-,114,87,7.52256727,-,-,-,0,-,-,10104.37597656,0
