GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
-,06-Sep-2018 16:39:42.475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6002.57714844,-
-,06-Sep-2018 16:39:43.455,-,-,-,-,-,-,352.09375,0,8.38323307,26.66666603,20,24,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,13.49493599,-,-,-,0,-,-,6002.57714844,0
-,06-Sep-2018 16:39:44.456,-,-,-,-,-,-,352.09375,0,8.38323307,26.66666603,20,24,0,2.99451137,17,26.66666603,12560,30,0,19,9.57333374,-,-,-,-,0,-,-,-,-,-,-,13.49493599,-,-,-,0,-,-,6002.57714844,0
-,06-Sep-2018 16:39:45.474,-,-,-,-,-,-,352.09375,0,8.38323307,26.66666603,20,24,0,2.99451137,17,26.66666603,12560,30,0,19,9.57333374,0,0,0,16,0,20,-,-,-,-,-,13.49493599,-,-,-,0,-,-,6002.57714844,0
-,06-Sep-2018 16:39:46.459,-,-,-,-,-,-,352.09375,0,8.38323307,26.66666603,20,24,0,2.99451137,17,26.66666603,12560,30,0,19,9.57333374,0,0,0,16,0,20,-,0,-,-,26,13.49493599,-,-,-,0,-,-,6002.57714844,0
-,06-Sep-2018 16:39:47.457,-,-,-,-,-,-,351.9375,1.05581248,8.38323307,26.66666603,20,24,0,2.99451137,17,26.66666603,12560,30,0,19,9.57333374,0,0,0,16,∞,20,-,0,-,-,26,13.49493599,-,-,-,0,-,-,6002.57714844,0
-,06-Sep-2018 16:39:48.464,-,-,-,-,-,-,351.9375,1.05581248,8.38323307,26.66666603,20,24,0,2.99451137,17,26.66666603,12560,30,0,19,9.57333374,0,0,0,16,∞,20,-,0,-,-,26,13.49493599,-,-,-,0,-,-,6002.57714844,0
-,06-Sep-2018 16:39:49.467,-,-,-,-,-,-,351.9375,1.05581248,8.38323307,26.66666603,20,24,0,2.99451137,17,26.66666603,12560,30,0,19,9.57333374,0,0,0,16,∞,19,-,0,-,-,26,13.49493599,0,0,100,1,-,-,6002.57714844,0
-,06-Sep-2018 16:39:50.457,-,-,-,-,-,-,348.875,1.88392508,8.38323307,26.66666603,20,24,0,2.99451137,17,26.66666603,12560,30,0,19,9.57333374,0,0,0,16,∞,19,-,0,-,-,26,13.49493599,0,0,100,1,-,-,6002.57714844,0
-,06-Sep-2018 16:39:51.458,-,-,-,-,-,-,348.875,1.88392508,8.38323307,26.66666603,20,24,0,2.95799303,17,26.66666603,12560,30,0,19,9.57333374,0,0,0,16,∞,19,-,0,-,-,26,13.49493599,0,0,100,1,-,-,6002.57714844,0
-,06-Sep-2018 16:39:52.457,-,-,-,-,-,-,348.875,1.88392508,8.38323307,26.66666603,20,24,0,2.95799303,17,26.66666603,12560,30,3,19,9.57333374,0,0,0,16,627.97503662,20,-,0,-,-,26,13.49493599,0,0,100,1,-,-,6002.57714844,3
-,06-Sep-2018 16:39:53.458,-,-,-,-,-,-,348.875,1.88392508,8.38323307,26.66666603,20,24,0,2.95799303,17,26.66666603,12560,30,3,19,9.57333374,0,0,0,16,627.97503662,20,-,0,-,-,26,13.49493599,0,0,100,4,3.40335131,0.00258264,6002.57958984,4
-,06-Sep-2018 16:39:54.466,-,-,-,-,-,-,350.390625,1.3665235,8.38323307,26.66666603,20,24,0,2.95799303,17,26.66666603,12560,30,3,19,9.57333374,0,0,0,16,455.5078125,20,-,0,-,-,26,13.49493599,0,0,100,4,3.40335131,0.00258264,6002.57958984,4
-,06-Sep-2018 16:39:55.460,-,-,-,-,-,-,350.390625,1.3665235,8.38323307,26.66666603,20,24,0,2.95799303,17,26.66666603,12560,30,2,19,9.57333374,0,0,0,16,683.26171875,20,-,0,-,-,26,13.49493599,0,0,100,4,3.40335131,0.00258264,6002.57958984,4
-,06-Sep-2018 16:39:56.461,-,-,-,-,-,-,350.390625,1.3665235,8.38323307,26.66666603,20,24,0,2.95799303,17,26.66666603,12560,30,2,19,9.57333374,0,0,0,16,683.26171875,20,-,0,-,-,26,13.49493599,0,0,100,0,3.40335011,0.00258264,6002.57958984,7
-,06-Sep-2018 16:39:57.457,-,-,-,-,-,-,367.421875,3.08634353,8.38323307,26.66666603,20,24,0,2.95799303,17,26.66666603,12560,30,2,19,9.57333374,0,0,0,16,1543.17175293,20,-,0,-,-,26,13.49493599,0,0,100,0,3.40335011,0.00258264,6002.57958984,7
